_id,store_id,address,landmark,pincode,city,latitude,longitude,opening_hours
188,188,"Sajjan Rao Circle, Corporation,
Hospital Pre V.V.puram,
Bangalore-4",V.B Bakery,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
189,189,"Shankar Puram Road, Near
Police Station, Opp to ATM
Karnataka Bank, Bangalore-4",Shankar Mutt,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
190,190,"2nd Block, Thyagaraja nagara,
Shaneshwara temple Road,
Bangalore","More Super
Market",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
191,191,"Gurumurthappa Kalyana Mantap,
Banashankari Circle, Service Road,
Bangalore","Banashankari
Bus Stand",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
192,192,"Word Office Beside 28th
Main Road, Jayanagar 9th Block,
Bangalore",Shekar Hospital,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
193,193,"Corporation Hospital Beside
milk booth, 2nd Block, Kanakana
Palya Layout, Bangalore","Community
School Center",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
194,194,"Cauvery School Opp 2nd Block,
Sahakara Nagara Park, Bangalore",yellahanka,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
195,195,"Nethaji Park, Near to Mini
vidhanasowdha, Nelamangala","Mini
Vidhanasaudha",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
196,196,"Subash nagara, Nelamangala","Thalloku
panchayath",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
197,197,"Vivers colony, Nelamanagala","Chowdeshwari
bus stand",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
199,199,"Ganesha Temple 2nd Block,
Sahakara Nagara Park,
Bangalore",Yellahanka,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
200,200,"SFHS Layout Radail Road,
Nandini Layout, Bangalore",Swimming Pool,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
201,201,"HRBR Layout, Milk booth,
Banasavadi, Bangalore",Anjaneya Temple,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
204,204,"BEML Extn, 3rd Stage Raja
Rajeshwari nagara, Bangalore-39","Rajeshwari
temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
205,205,"Ideal home township Near Tank
Rajeshwari Nagara, Bangalore-39","Rajeshwari
temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
206,206,"Jeevana halli market, Cooktown,
Shivajinagara, Bangalore","BMTC
Bus stand",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
207,207,"Basappa park, vetarnary Hospital,
Cubbon pet, Corporation,
Bangalore -2","Martha's
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
208,208,"Shankarappa layout, Laljinagara,
Bannerughatta Road","Bangalore
Diary",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
209,209,"Maruthi Nagara, Thavarekere
Circle, BMTC Bus stand,
Bangalore",PVR Opp Rod,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
210,210,"Maruthi Nagara, Madivala
Park, Ayyappa temple Opp
Madivala, Bangalore","St.John's
Hospital",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
213,213,"Milk booth Police Station
Near 4th Block, Rajajinagara,
Bangalore-10",ESI Hospital,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
214,214,"Madavan nagara, Milk booth,
Race Course Road, Bangalore-1","Opp to Janatha
Dal Office",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
215,215,"11th Main Road, 4th Block,
Jayanagara, Near Thilak Nagar
Bangalore","Opp to Usha
Appartment",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
216,216,"38th Cross, Milk booth
beside, 20th Main, 4th T block,
Jayanagara, Bangalore-41","G.N.R Kalyana
Mantap",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
217,217,"35th Cross Milk booth,
7th main Road, 4th Block,
Jayanagar, Bangalore-41","Jayanagara
Telephone
Exchange",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
219,219,"Kathriguppe tank road,
Milk booth 6th Block,
B.S.K 3rd stage, Bangalore","Big Bazar
Shopping
Complex",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
220,220,"2nd Main, Addown school,
7th Block,Hosakerehalli,
B.S.K.3rd stage, Bangalore","Green's and
Greeen's shop",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
221,221,"16th Main, 5th Cross, IAS
Officer Layout, BTM Layout
2nd Stage, Bangalore","IPS Shankar
Bidari House",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
222,222,"Sena vihar Appointment,
Kammanahalli, Opp to High
School Ground, Bangalore","Banasavadi
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
223,223,"Raj mahal vilas Layout,
4th main, 2nd Stage,
R.M.V Bangalore",BEL Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
224,224,"O.M.R.R Layout, Bhuvangiri
Extension, Park road, Banasavadi
Road,Bangalore","Channa
Sandhra Stop",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
226,226,"Cauverappa Layout, Mahaveer
Jain Hospital,Cunningham Road,
Bangalore-1","Ambedkar
Bhavan",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
228,228,"Central Jail inside Pre Parappana
Agrahara, Hosur Road,
Bangalore",Central Jail,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
229,229,"Govt School Pre Agara
village, Sarjapura Road, Bangalore","Agara Anjeneya
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
230,230,"Chandhapura Circle, Hosur Road,
Bangalore Rural Dist",Canara Bank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
232,232,"Hebbagodi Village cross, Hosur
Road, Bangalore Rural Dist","Narayana
Hrudayalaya",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
233,233,"Govt Health Center,
Dommasandra, Bangalore
Rural Dist","Annekal
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
234,234,"Sarjapura Bus stand beside,
Annekal Road, Bangalore Rural
Dist",Sarjapura,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
235,235,"Channakeshava Nagara,
Hosur road, Bangalore",Central Jail,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
236,236,"3rd Main Milk booth,
Basaveshwaranagara, Bangalore",Monkey Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
237,237,"H.NO.64, Opp to kirloskar
Colony, Basaveshwaranagara,
Bangalore","Modi Hospital
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
238,238,"Ward No.16 Milk booth,
Basaveshwaranagara, Bangalore","Evershine
Appointment",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
240,240,"Ward No.98 K.H.M Block,
Ganga Nagara, Bangalore",R.T.Nagar,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
241,241,"Malleshwaram Park, Near
Milk booth, P.G. main Road,
Malleshwaram, Bangalore-3","Dattatreya
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
242,242,"Taskar Town Park Road,
Shivaji Nagara, Bangalore-1","Indian Express
Paper",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
243,243,"14th Cross, 24th main Govt
Health Center Beside, J.P.Nagara
1st Phase, Bangalore-78",K.E.B Office,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
244,244,"9th cross 4th Main, ISRO Road,
Bus stand Bangalore","Near Bikasi
Pura Park",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
245,245,"Kumaraswamy Layout, Bus
stand, Opp Isro Road, Bangalore",Police Station,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
246,246,"I.P.P.Hospital, C.T Bed,
Chennammakere Park,
B.S.K 3rd Stage, Bangalore","Indira Nursing
Home",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
247,247,"Bhuvaneshwarinagar, 5th Block,
Park Pre 3rd Main, B.S.K
3rd Stage, Bangalore","Nandi Appartment
road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
248,248,"1st cross, 2nd Main, Anjaneya
Nagar, Ittamadu Road,
B.S.K 3rd Stage, Bangalore","Old Janatha
Bazar Stop",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
249,249,"ShankarNag Road, Shaneshwara
Temple, BMTC Bus Stand
Dommalur, Bangalore",B.D.A Complex,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
250,250,"1st Cross, 16th main,
HAL 2nd Stage Indhiranagara,
Bangalore","ROTARY
Park",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
251,251,"1st H Cross, D Block,
Gayathri park, Rajajinagar,
Bangalore-10","Kuvempu
Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
252,252,"Govt.Health Center, Post Office
Opp to 12th Cross, 1st main,
N.S.Palya, Bangalore","Canara Bank
Quarters",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
253,253,"4th Cross, 9th main, Mico
HBS 2nd Stage, B.T.M Layout,
Bangalore",Water Tank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
254,254,"8th Cross, 16th Main Park
Beside B.T.M Layout 1st stage,
Bangalore","Advithya
Petrol Bunk",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
255,255,"7th Main Road, 1st Block
Near Park, Koramangala,
Bangalore","Krupanidhi
College",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
256,256,"Venkatapura main road, Near
madivala santhe, Koramangala,
Bangalore","K.S.R.P
Koramangala",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
257,257,"12th Cross, 23rd Main,
J.P.nagara 2nd Phase,
Bangalore-78",S.L.V.Hotel,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
258,258,"16th Cross, 18th main,
J.P.Nagara 5th Phase,
Bangalore-78","Shree Kalyana
Mantap",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
259,259,"Pramod Theater, Magadi Road,
Vijayanagar, Bangalore(New)","Toll Gate,
Magadi Road",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
261,261,"National games complex, J-2,
Judicial Block, Koramangala,
Bangalore",Indoor Stadium,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
262,262,"4 th main,4th Cross Vijayanagar,
Bangalore-40(New)",Bus Stand,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
263,263,"6 th main, NEAR Swimming Pool,
Hampinagara, Vijayanagar,
Bangalore-40(New)","Sharavathi
Nursing Home",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
264,264,"Janatha Bazar Beside,
HAL Market area HAL Road,
Bangalore",S.B.I Bank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
265,265,"Nada Gowda Circle,
Vidhanasoudha Layout,
Kottige Palya, Bangalore",Laggere,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
267,267,"12th Cross, 14th main, WCR
2nd stage, Mahalakshmi Layout
Bus stand, Bangalore","Dodda
Anjeya Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
268,268,"Mini forest Park Pre J.P.nagara,
3rd Phase, Bangalore","Extn CM
Kumaraswamy
House",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
270,270,"Gigani Bus Stand, Bannerughatta
Road,Annekal Road, Bangalore
Rural Dist",Gigani,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
271,271,"Papareddy Palya, Mallathahalli,
Opp to Dr.Ambedkar College
Bangalore",B.D.A Complex,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
272,272,"Mahadeva Pura, Sigaiah Palya,
Maruthi Car showroom Opp,
K.R.Puram Bangalore",Hodi Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
273,273,"Devanahalli bus stand, Nandi
Road, Devanahalli, Bangalore
Rural Dist",B.I.A Airport,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
274,274,"P.L.D Bank Near Channapattana
Bangalore Road,
Ramanagar dist",A.P.M.C Office,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
277,277,"APMC yard, Hosakote Bus
stand, Bangalore Rural Dist",Hosakote,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
278,278,"Vijayapura bus stand, High
School Opp Siddlugatta Road,
Bangalore Rural Dist",JAIN Temple,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
279,279,"Water Tank Ramanagar City,
Channapattana Road,
Ramanagara Dist",I Jur Station,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
280,280,"Bannerughatta Circle, Police
station Opp Annekal Road,
Bangalore Rural Dist",National Park,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
281,281,"P.L.D Bank beside, Brahmin
palahara mandhir, Annekal
Circle, Bangalore Rural Dist",Annekal,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
282,282,"I jur Ramanagara Police
station Road, Ramanagar,
Ramanagar Dist.",I Jur Station,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
284,284,"V.V.Layout, Hosakote
Town, Bangalore Rural Dist",Hosakote,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
285,285,"60 Ft Road, Near Vinayaka
Hospital 1st stage, Chandra Layout,
Vijayanagar, Bangalore-40",Park Road,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
286,286,"5th Main, Word Office
1st Stage, Chandra Layout,
Vijayanagar,Bangalore",BMTC Depo,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
287,287,"Dollar's Layout, J.P.Nagar,
4th Phase, Bangalore","Mukya Manthri
Chandru House",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
288,288,"Baa shettahalli, Bank circle,
Doddaballapura, Bangalore
Rural Dist",S.B.I Bank,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
289,289,"MIG Residential Groop,
Nandini Layout, Bangalore",-,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
290,290,"satalite Bus Stand, KSRTC
Mysore Road, bangalore","Anjaneya
Temple",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
291,291,"P & T Quarters, Kaval
Byrasandra, R.T.nagara,
Bangalore",K.H.B Complex,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
292,292,"T.A.P.C.M.S Premises,
Nelamanagala, Bangalore
Gramanthara",Near Busstand,,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
293,293,"2nd ""F"" Main Raod Opp to
Ward Office Nagarabavi
11th Block, Bangalore-72","BBMP Ward
Office",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
294,294,"9th main Road, Opp Park,
Nagarabavi 9th Block,
Bangalore-72","Nagarabavi
Park",,Bengaluru,,," Mo-Sa 09:00-12:00,16:00-19:00,PH off"
