Sl.No,Item Name,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,13/01/2016,14/01/2016,15/01/2016,16/01/2016,17/01/2016,18/01/2016,19/01/2016,20/01/2016,21/01/2016,22/01/2016,23/01/2016,24/01/2016,25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,01/02/2016,02/02/2016,03/02/2016,04/02/2016,05/02/2016,06/02/2016,07/02/2016,08/02/2016,09/02/2016,10/02/2016,11/02/2016,12/02/2016,13/02/2016,14/02/2016,15/02/2016,16/02/2016,17/02/2016,18/02/2016,19/02/2016,20/02/2016,21/02/2016,22/02/2016,23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,01/03/2016,02/03/2016,03/03/2016,04/03/2016,05/03/2016,06/03/2016,07/03/2016,08/03/2016,09/03/2016,10/03/2016,11/03/2016,12/03/2016,13/03/2016,14/03/2016,15/03/2016,16/03/2016,17/03/2016,18/03/2016,19/03/2016,20/03/2016,21/03/2016,22/03/2016,23/03/2016,24/03/2016,25/03/2016,26/03/2016,27/03/2016,28/03/2016,29/03/2016,30/03/2016,31/03/2016,01/04/2016,02/04/2016,03/04/2016,04/04/2016,05/04/2016,06/04/2016,07/04/2016,08/04/2016,09/04/2016,10/04/2016,11/04/2016,12/04/2016,13/04/2016,14/04/2016,15/04/2016,16/04/2016,17/04/2016,18/04/2016,19/04/2016,20/04/2016,21/04/2016,22/04/2016,23/04/2016,24/04/2016,25/04/2016,26/04/2016,27/04/2016,28/04/2016,29/04/2016,30/04/2016,01/05/2016,02/05/2016,03/05/2016,04/05/2016,05/05/2016,06/05/2016,07/05/2016,08/05/2016,09/05/2016,10/05/2016,11/05/2016,12/05/2016,13/05/2016,14/05/2016,15/05/2016,16/05/2016,17/05/2016,18/05/2016,19/05/2016,20/05/2016,21/05/2016,22/05/2016,23/05/2016,24/05/2016,25/05/2016,26/05/2016,27/05/2016,28/05/2016,29/05/2016,30/05/2016,31/05/2016,01/06/2016,02/06/2016,03/06/2016,04/06/2016,05/06/2016,06/06/2016,07/06/2016,08/06/2016,09/06/2016,10/06/2016,11/06/2016,12/06/2016,13/06/2016,14/06/2016,15/06/2016,16/06/2016,17/06/2016,18/06/2016,19/06/2016,20/06/2016,21/06/2016,22/06/2016,23/06/2016,24/06/2016,25/06/2016,26/06/2016,27/06/2016,28/06/2016,29/06/2016,30/06/2016,01/07/2016,02/07/2016,03/07/2016,04/07/2016,05/07/2016,06/07/2016,07/07/2016,08/07/2016,09/07/2016,10/07/2016,11/07/2016,12/07/2016,13/07/2016,14/07/2016,15/07/2016,16/07/2016,17/07/2016,18/07/2016,19/07/2016,20/07/2016,21/07/2016,22/07/2016,23/07/2016,24/07/2016,25/07/2016,26/07/2016,27/07/2016,28/07/2016,29/07/2016,30/07/2016,31/07/2016,01/08/2016,02/08/2016,03/08/2016,04/08/2016,05/08/2016,06/08/2016,07/08/2016,08/08/2016,09/08/2016,10/08/2016,11/08/2016,12/08/2016,13/08/2016,14/08/2016,15/08/2016,16/08/2016,17/08/2016,18/08/2016,19/08/2016,20/08/2016,21/08/2016,22/08/2016,23/08/2016,24/08/2016,25/08/2016,26/08/2016,27/08/2016,28/08/2016,29/08/2016,30/08/2016,31/08/2016,01/09/2016,02/09/2016,03/09/2016,04/09/2016,05/09/2016,06/09/2016,07/09/2016,08/09/2016,09/09/2016,10/09/2016,11/09/2016,12/09/2016,13/09/2016,14/09/2016,15/09/2016,16/09/2016,17/09/2016,18/09/2016,19/09/2016,20/09/2016,21/09/2016,22/09/2016,23/09/2016,24/09/2016,25/09/2016,26/09/2016,27/09/2016,28/09/2016,29/09/2016,30/09/2016,01/10/2016,02/10/2016,03/10/2016,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,15/10/2016,16/10/2016,17/10/2016,18/10/2016,19/10/2016,20/10/2016,21/10/2016,22/10/2016,23/10/2016,24/10/2016,25/10/2016,26/10/2016,27/10/2016,28/10/2016,29/10/2016,30/10/2016,31/10/2016,01/11/2016,02/11/2016,03/11/2016,04/11/2016,05/11/2016,06/11/2016,07/11/2016,08/11/2016,09/11/2016,10/11/2016,11/11/2016,12/11/2016,13/11/2016,14/11/2016,15/11/2016,16/11/2016,17/11/2016,18/11/2016,19/11/2016,20/11/2016,21/11/2016,22/11/2016,23/11/2016,24/11/2016,25/11/2016,26/11/2016,27/11/2016,28/11/2016,29/11/2016,30/11/2016,01/12/2016,02/12/2016,03/12/2016,04/12/2016,05/12/2016,06/12/2016,07/12/2016,08/12/2016,09/12/2016,10/12/2016,11/12/2016,12/12/2016,13/12/2016,14/12/2016,15/12/2016,16/12/2016,17/12/2016,18/12/2016,19/12/2016,20/12/2016,21/12/2016,22/12/2016,23/12/2016,24/12/2016,25/12/2016,26/12/2016,27/12/2016,28/12/2016,29/12/2016,30/12/2016,31/12/2016
41,Mango Raspuri,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,120,120,120,120,120,NR,120,120,120,NR,109,98,NR,98,98,98,90,90,80,NR,85,85,85,85,85,85,NR,85,85,85,85,83,83,NR,80,80,80,80,NR,80,NR,80,80,80,78,78,78,NR,NR,77,77,73,73,73,NR,64,64,64,64,64,64,NR,64,60,58,58,58,54,NR,54,54,49,49,49,49,NR,49,49,49,49,49,49,NR,47,50,50,50,52,54,NR,54,58,58,58,58,58,NR,NR,60,60,NR,60,60,NR,60,NR,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,NR,NR,NR,NR,NR,60,60,60,60,60,NR,60,60,60,NR,60,60,NR,60,60,NR,60,NR,NR,NR,NR,NR,60,NR,60,60,NR,60,60,60,60,60,60,NR,60,60,NR,60,NR,60,NR,NR,60,60,60,NR,60,NR,60,NR,60,60,NR,60,NR,60,60,60,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
42,Mango Sendura,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,84,87,NR,87,88,88,86,86,80,NR,80,80,80,NR,71,68,NR,68,65,62,60,60,55,NR,54,54,54,54,54,54,NR,54,54,54,54,52,52,NR,48,48,48,48,NR,48,NR,48,48,48,47,47,47,NR,NR,46,46,44,44,44,NR,40,40,40,40,40,40,NR,40,40,40,40,40,38,NR,38,38,38,38,38,38,NR,38,38,38,38,38,38,NR,38,38,38,38,40,42,NR,44,46,46,46,46,46,NR,NR,48,48,NR,48,48,NR,48,NR,48,48,48,48,NR,48,48,48,48,48,48,NR,48,48,48,NR,NR,NR,NR,NR,48,48,48,48,48,NR,48,48,48,NR,48,48,NR,48,48,NR,48,NR,NR,NR,NR,NR,48,NR,48,48,NR,48,48,48,48,48,48,NR,48,48,NR,48,NR,48,NR,NR,48,48,48,NR,48,NR,48,NR,48,48,NR,48,NR,48,48,48,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,96,96,96,NR,NR,96,96,96,96,96,96,NR,96,96,0,0,0,0
43,Mango Bygan palli,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,109,105,NR,105,105,105,105,105,105,NR,94,94,94,94,94,94,NR,94,94,94,94,94,94,NR,90,90,88,88,NR,88,NR,88,88,88,85,85,85,NR,NR,85,85,80,80,80,NR,72,72,72,72,72,72,NR,72,72,72,68,68,62,NR,62,62,55,55,55,55,NR,55,55,55,55,55,55,NR,55,55,55,57,57,57,NR,57,57,57,60,60,60,NR,NR,60,60,NR,60,60,NR,60,NR,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,NR,NR,NR,NR,NR,60,60,60,60,60,NR,60,60,60,NR,60,60,NR,60,60,NR,60,NR,NR,NR,NR,NR,60,NR,60,60,NR,60,60,60,60,60,60,NR,60,60,NR,60,NR,60,NR,NR,60,60,60,NR,60,NR,60,NR,60,60,NR,60,NR,60,60,60,60,NR,60,NR,60,60,60,60,NR,60,NR,60,60,60,60,60,60,NR,60,NR,60,60,60,NR,NR,60,60,60,60,60,60,NR,60,NR,NR,NR,60,60,NR,NR,NR,60,60,60,60,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,98,98,98,NR,NR,98,98,98,98,98,98,NR,98,98,0,0,0,0
44,Mango malagova,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,102,NR,102,102,102,102,102,95,NR,95,95,98,105,105,105,NR,105,108,108,108,108,108,NR,108,108,108,105,NR,105,NR,105,105,105,105,105,105,NR,NR,105,105,105,105,105,NR,95,95,95,95,95,95,NR,95,95,95,90,90,90,NR,90,90,90,90,90,90,NR,90,90,90,90,90,90,NR,87,92,92,92,92,92,NR,92,92,92,95,95,95,NR,NR,95,95,NR,95,95,NR,95,NR,95,95,95,95,NR,95,95,95,95,95,95,NR,95,95,95,NR,NR,NR,NR,NR,95,95,95,95,95,NR,95,95,95,NR,95,95,NR,95,95,NR,95,NR,NR,NR,NR,NR,95,NR,95,95,NR,95,95,95,95,95,95,NR,95,95,NR,95,NR,95,NR,NR,95,95,95,NR,95,NR,95,NR,95,95,NR,95,NR,95,95,95,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
45,Mango mallika,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,96,96,96,NR,96,96,96,96,NR,96,NR,96,96,96,90,90,90,NR,NR,87,87,85,85,85,NR,77,77,77,77,77,77,NR,77,77,74,74,74,68,NR,68,68,66,66,65,65,NR,65,65,65,65,65,65,NR,65,65,65,65,66,68,NR,70,72,72,72,76,76,NR,NR,80,82,NR,84,84,NR,88,NR,90,90,94,94,NR,100,104,108,108,108,108,NR,108,108,108,NR,NR,NR,NR,NR,108,108,108,108,108,NR,108,108,108,NR,108,108,NR,108,108,NR,108,NR,NR,NR,NR,NR,108,NR,108,108,NR,108,108,108,108,108,108,NR,108,108,NR,108,NR,108,NR,NR,108,108,108,NR,108,NR,108,NR,108,108,NR,108,NR,108,108,108,108,NR,108,NR,108,108,108,108,NR,108,NR,108,108,108,108,108,108,NR,108,NR,108,108,108,NR,NR,108,108,108,108,108,108,NR,108,NR,NR,NR,108,108,NR,NR,NR,108,108,108,108,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
46,Mango thotapuri,60,60,NR,60,60,60,60,60,60,NR,60,60,60,60,60,NR,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,NR,60,60,60,NR,60,60,50,50,50,50,NR,50,40,40,40,39,33,NR,33,33,33,NR,33,33,NR,33,30,30,30,30,30,NR,30,30,30,30,30,30,NR,30,29,29,29,29,29,NR,29,29,29,29,NR,28,NR,28,28,28,28,28,28,NR,NR,28,28,28,28,28,NR,25,25,25,25,25,25,NR,25,25,25,25,25,25,NR,25,20,19,19,19,19,NR,19,19,24,24,24,25,NR,25,25,25,25,25,30,NR,32,32,32,32,32,32,NR,NR,32,32,NR,32,32,NR,34,NR,38,38,38,38,NR,39,39,45,45,47,47,NR,49,49,49,NR,NR,NR,NR,NR,52,52,52,52,52,NR,52,52,52,NR,52,52,NR,52,52,NR,52,NR,NR,NR,NR,NR,52,NR,52,52,NR,52,52,52,52,52,52,NR,52,52,NR,52,NR,52,NR,NR,52,52,52,NR,52,NR,52,NR,52,52,NR,52,NR,52,52,52,52,NR,52,NR,52,52,52,52,NR,52,NR,52,52,52,52,52,52,NR,52,NR,52,52,52,NR,NR,52,52,52,52,52,52,NR,52,NR,NR,NR,52,52,NR,NR,NR,52,52,52,52,NR,0,0,0,0,0,0,NR,0,30,30,30,30,NR,NR,30,30,30,30,30,30,NR,NR,NR,30,54,54,54,NR,54,NR,54,NR,54,NR,NR,NR,NR,54,54,54,NR,NR,54,50,50,50,50,50,NR,50,50,50,50,50,50
47,Mango kalapadu,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,86,86,86,NR,86,86,86,86,86,86,NR,84,84,84,84,NR,84,NR,84,84,84,80,80,80,NR,NR,78,78,78,78,78,NR,70,70,70,70,70,70,NR,70,70,70,70,70,70,NR,70,70,70,70,70,70,NR,70,70,70,70,70,70,NR,70,70,70,70,70,70,NR,70,73,73,73,73,73,NR,NR,73,73,NR,73,73,NR,73,NR,73,73,73,73,NR,73,73,73,73,73,73,NR,73,73,73,NR,NR,NR,NR,NR,73,73,73,73,73,NR,73,73,73,NR,73,73,NR,73,73,NR,73,NR,NR,NR,NR,NR,73,NR,73,73,NR,73,73,73,73,73,73,NR,73,73,NR,73,NR,73,NR,NR,73,73,73,NR,73,NR,73,NR,73,73,NR,73,NR,73,73,73,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
48,Mango Neelam,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,50,50,50,50,50,NR,50,50,50,50,NR,50,NR,50,50,50,50,50,50,NR,NR,50,50,50,50,50,NR,45,45,45,45,45,45,NR,45,45,45,45,45,45,NR,45,45,40,40,40,40,NR,40,40,40,40,40,40,NR,40,49,49,49,49,47,NR,47,47,47,47,47,50,NR,NR,50,50,NR,50,50,NR,50,NR,52,52,52,52,NR,52,52,52,52,52,52,NR,52,52,52,NR,NR,NR,NR,NR,52,52,52,52,52,NR,52,52,52,NR,52,52,NR,52,52,NR,52,NR,NR,NR,NR,NR,52,NR,52,52,NR,52,52,52,52,52,52,NR,52,52,NR,52,NR,52,NR,NR,52,52,52,NR,52,NR,52,NR,52,52,NR,52,NR,52,52,52,52,NR,52,NR,52,52,52,52,NR,52,NR,52,52,52,52,52,52,NR,52,NR,52,52,52,NR,NR,52,52,52,52,52,52,NR,52,NR,NR,NR,52,52,NR,NR,NR,52,52,52,52,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
49,Mango Dasheri,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,92,85,85,NR,85,NR,94,94,94,94,94,94,NR,NR,94,94,94,94,94,NR,85,85,85,85,85,85,NR,85,85,85,85,85,85,NR,85,85,85,85,85,85,NR,85,85,85,85,85,85,NR,85,85,85,85,85,85,NR,85,88,88,88,88,88,NR,NR,88,88,NR,88,88,NR,88,NR,88,88,88,88,NR,88,88,130,130,130,130,NR,130,130,130,NR,NR,NR,NR,NR,130,130,130,130,130,NR,130,130,130,NR,130,130,NR,130,130,NR,130,NR,NR,NR,NR,NR,130,NR,130,130,NR,130,130,130,130,130,130,NR,130,130,NR,130,NR,130,NR,NR,130,130,130,NR,130,NR,130,NR,130,130,NR,130,NR,130,130,130,130,NR,130,NR,130,130,130,130,NR,130,NR,130,130,130,130,130,130,NR,130,NR,130,130,130,NR,NR,130,130,130,130,130,130,NR,130,NR,NR,NR,130,130,NR,NR,NR,130,130,130,130,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
50,Mango Langada,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,NR,0,0,NR,0,0,NR,0,NR,0,0,0,0,NR,0,0,130,130,130,130,NR,130,130,130,NR,NR,NR,NR,NR,130,130,130,130,130,NR,130,130,130,NR,130,130,NR,130,130,NR,130,NR,NR,NR,NR,NR,130,NR,130,130,NR,130,130,130,130,130,130,NR,130,130,NR,130,NR,130,NR,NR,130,130,130,NR,130,NR,130,NR,130,130,NR,130,NR,130,130,130,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
51,Mango Kesar,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,60,60,60,60,60,60,NR,60,60,60,60,60,60,NR,60,60,55,55,55,55,NR,55,55,55,55,55,55,NR,55,55,55,55,55,55,NR,55,55,55,55,55,55,NR,NR,55,55,NR,55,55,NR,55,NR,55,55,55,55,NR,55,55,55,55,55,55,NR,55,55,55,NR,NR,NR,NR,NR,55,55,55,55,55,NR,55,55,55,NR,55,55,NR,55,55,NR,55,NR,NR,NR,NR,NR,55,NR,55,55,NR,55,55,55,55,55,55,NR,55,55,NR,55,NR,55,NR,NR,55,55,55,NR,55,NR,55,NR,55,55,NR,55,NR,55,55,55,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
52,Mango Amarpalli,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,60,60,NR,60,60,55,55,55,55,NR,55,55,55,55,55,55,NR,55,58,58,58,58,58,NR,58,58,58,60,60,60,NR,NR,60,60,NR,65,65,NR,65,NR,65,65,65,65,NR,65,65,75,75,75,75,NR,75,75,75,NR,NR,NR,NR,NR,75,75,75,75,75,NR,75,75,75,NR,75,75,NR,75,75,NR,75,NR,NR,NR,NR,NR,75,NR,75,75,NR,75,75,75,75,75,75,NR,75,75,NR,75,NR,75,NR,NR,75,75,75,NR,75,NR,75,NR,75,75,NR,75,NR,75,75,75,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
53,Mango rathnagiri(red),0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,NR,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0,NR,NR,0,0,NR,0,0,NR,0,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,NR,NR,NR,NR,NR,0,0,0,0,0,NR,0,0,0,NR,0,0,NR,0,0,NR,0,NR,NR,NR,NR,NR,0,NR,0,0,NR,0,0,0,0,0,0,NR,0,0,NR,0,NR,0,NR,NR,0,0,0,NR,0,NR,0,NR,0,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,NR,0,NR,0,0,0,0,0,0,NR,0,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,NR,NR,NR,0,0,NR,NR,NR,0,0,0,0,NR,0,0,0,0,0,0,NR,0,0,0,0,0,NR,NR,0,0,0,0,0,0,NR,NR,NR,0,0,0,0,NR,0,NR,0,NR,0,NR,NR,NR,NR,0,0,0,NR,NR,0,0,0,0,0,0,NR,0,0,0,0,0,0
