"Sl.No","Item Name","01/01/2017","02/01/2017","03/01/2017","04/01/2017","05/01/2017","06/01/2017","07/01/2017","08/01/2017","09/01/2017","10/01/2017","11/01/2017","12/01/2017","13/01/2017","14/01/2017","15/01/2017","16/01/2017","17/01/2017","18/01/2017","19/01/2017","20/01/2017","21/01/2017","22/01/2017","23/01/2017","24/01/2017","25/01/2017","26/01/2017","27/01/2017","28/01/2017","29/01/2017","30/01/2017","31/01/2017","01/02/2017","02/02/2017","03/02/2017","04/02/2017","05/02/2017","06/02/2017","07/02/2017","08/02/2017","09/02/2017","10/02/2017","11/02/2017","12/02/2017","13/02/2017","14/02/2017","15/02/2017","16/02/2017","17/02/2017","18/02/2017","19/02/2017","20/02/2017","21/02/2017","22/02/2017","23/02/2017","24/02/2017","25/02/2017","26/02/2017","27/02/2017","28/02/2017","01/03/2017","02/03/2017","03/03/2017","04/03/2017","05/03/2017","06/03/2017","07/03/2017","08/03/2017","09/03/2017","10/03/2017","11/03/2017","12/03/2017","13/03/2017","14/03/2017","15/03/2017","16/03/2017","17/03/2017","18/03/2017","19/03/2017","20/03/2017","21/03/2017","22/03/2017","23/03/2017","24/03/2017","25/03/2017","26/03/2017","27/03/2017","28/03/2017","29/03/2017","30/03/2017","31/03/2017","01/04/2017","02/04/2017","03/04/2017","04/04/2017","05/04/2017","06/04/2017","07/04/2017","08/04/2017","09/04/2017","10/04/2017","11/04/2017","12/04/2017","13/04/2017","14/04/2017","15/04/2017","16/04/2017","17/04/2017","18/04/2017","19/04/2017","20/04/2017","21/04/2017","22/04/2017","23/04/2017","24/04/2017","25/04/2017","26/04/2017","27/04/2017","28/04/2017","29/04/2017","30/04/2017","01/05/2017","02/05/2017","03/05/2017","04/05/2017","05/05/2017","06/05/2017","07/05/2017","08/05/2017","09/05/2017","10/05/2017","11/05/2017","12/05/2017","13/05/2017","14/05/2017","15/05/2017","16/05/2017","17/05/2017","18/05/2017","19/05/2017","20/05/2017","21/05/2017","22/05/2017","23/05/2017","24/05/2017","25/05/2017","26/05/2017","27/05/2017","28/05/2017","29/05/2017","30/05/2017","31/05/2017","01/06/2017","02/06/2017","03/06/2017","04/06/2017","05/06/2017","06/06/2017","07/06/2017","08/06/2017","09/06/2017","10/06/2017","11/06/2017","12/06/2017","13/06/2017","14/06/2017","15/06/2017","16/06/2017","17/06/2017","18/06/2017","19/06/2017","20/06/2017","21/06/2017","22/06/2017","23/06/2017","24/06/2017","25/06/2017","26/06/2017","27/06/2017","28/06/2017","29/06/2017","30/06/2017","01/07/2017","02/07/2017","03/07/2017","04/07/2017","05/07/2017","06/07/2017","07/07/2017","08/07/2017","09/07/2017","10/07/2017","11/07/2017","12/07/2017","13/07/2017","14/07/2017","15/07/2017","16/07/2017","17/07/2017","18/07/2017","19/07/2017","20/07/2017","21/07/2017","22/07/2017","23/07/2017","24/07/2017","25/07/2017","26/07/2017","27/07/2017","28/07/2017","29/07/2017","30/07/2017","31/07/2017","01/08/2017","02/08/2017","03/08/2017","04/08/2017","05/08/2017","06/08/2017","07/08/2017","08/08/2017","09/08/2017","10/08/2017","11/08/2017","12/08/2017","13/08/2017","14/08/2017","15/08/2017","16/08/2017","17/08/2017","18/08/2017","19/08/2017","20/08/2017","21/08/2017","22/08/2017","23/08/2017","24/08/2017","25/08/2017","26/08/2017","27/08/2017","28/08/2017","29/08/2017","30/08/2017","31/08/2017","01/09/2017","02/09/2017","03/09/2017","04/09/2017","05/09/2017","06/09/2017","07/09/2017","08/09/2017","09/09/2017","10/09/2017","11/09/2017","12/09/2017","13/09/2017","14/09/2017","15/09/2017","16/09/2017","17/09/2017","18/09/2017","19/09/2017","20/09/2017","21/09/2017","22/09/2017","23/09/2017","24/09/2017","25/09/2017","26/09/2017","27/09/2017","28/09/2017","29/09/2017","30/09/2017","01/10/2017","02/10/2017","03/10/2017","04/10/2017","05/10/2017","06/10/2017","07/10/2017","08/10/2017","09/10/2017","10/10/2017","11/10/2017","12/10/2017","13/10/2017","14/10/2017","15/10/2017","16/10/2017","17/10/2017","18/10/2017","19/10/2017","20/10/2017","21/10/2017","22/10/2017","23/10/2017","24/10/2017","25/10/2017","26/10/2017","27/10/2017","28/10/2017","29/10/2017","30/10/2017","31/10/2017","01/11/2017","02/11/2017","03/11/2017","04/11/2017","05/11/2017","06/11/2017","07/11/2017","08/11/2017","09/11/2017","10/11/2017","11/11/2017","12/11/2017","13/11/2017","14/11/2017","15/11/2017","16/11/2017","17/11/2017","18/11/2017","19/11/2017","20/11/2017","21/11/2017","22/11/2017","23/11/2017","24/11/2017","25/11/2017","26/11/2017","27/11/2017","28/11/2017","29/11/2017","30/11/2017"
75,"Rose apple","NR",160,160,160,160,"NR",160,"NR",160,160,"NR",160,160,"NR","NR",160,"NR",160,160,160,160,"NR","NR",160,160,160,160,160,"NR",160,160,160,"NR",160,160,"NR",160,160,160,160,160,160,"NR","NR",160,160,160,160,160,"NR",160,160,160,"NR",160,"NR","NR",160,"NR","NR",160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR","NR",160,"NR",160,"NR","NR","NR",160,160,160,160,160,160,"NR",160,"NR",160,160,160,160,"NR",160,160,160,160,160,160,"NR","NR",160,160,160,160,160,"NR",160,160,160,160,"NR","NR","NR",160,160,160,160,160,160,"NR",160,"NR",160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,"NR","NR","NR",160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,"NR","NR",160,"NR",160,160,160,160,"NR",160,160,160,160,160,160,"NR","NR",160,160,160,160,"NR","NR",160,160,160,160,160,160,"NR",160,160,160,160,"NR",160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,"NR",160,160,"NR",160,160,160,160,"NR",160,"NR",160,"NR","NR",160,160,"NR","NR","NR","NR",160,160,160,"NR","NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,"NR",160,160,160,"NR",160,160,160,160,160,160,"NR",160,160,160,160,"NR",160,"NR","NR",160,160,160,160,160,"NR",160,160,160,160
76,"Rampal","NR",0,0,0,0,"NR",0,"NR",0,0,"NR",0,0,"NR","NR",0,"NR",0,0,0,0,"NR","NR",0,0,0,0,0,"NR",0,0,0,"NR",0,0,"NR",0,0,0,0,0,0,"NR","NR",0,0,0,0,0,"NR",0,0,0,"NR",0,"NR","NR",0,"NR","NR",0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR","NR",0,"NR",0,"NR","NR","NR",0,0,0,0,0,0,"NR",0,"NR",0,0,0,0,"NR",0,0,0,0,0,0,"NR","NR",0,0,0,0,0,"NR",0,0,0,0,"NR","NR","NR",0,0,0,0,0,0,"NR",0,"NR",0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,"NR","NR","NR",0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,"NR","NR",0,"NR",0,0,0,0,"NR",0,0,0,0,0,0,"NR","NR",0,0,0,0,"NR","NR",0,0,0,0,0,0,"NR",0,0,0,0,"NR",0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,"NR",0,0,"NR",0,0,0,0,"NR",0,"NR",0,"NR","NR",0,0,"NR","NR","NR","NR",0,0,0,"NR","NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,"NR",0,0,0,"NR",0,0,0,0,0,0,"NR",0,0,0,0,"NR",0,"NR","NR",0,0,0,0,0,"NR",0,0,0,0
77,"Tamarind sweet 500gm","NR",90,90,90,90,"NR",90,"NR",90,90,"NR",90,90,"NR","NR",90,"NR",90,90,90,90,"NR","NR",90,90,90,90,90,"NR",90,90,90,"NR",90,90,"NR",90,90,90,90,90,90,"NR","NR",90,90,90,90,90,"NR",90,90,90,"NR",90,"NR","NR",90,"NR","NR",90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR","NR",90,"NR",90,"NR","NR","NR",90,90,90,90,90,90,"NR",90,"NR",90,90,90,90,"NR",90,90,90,90,90,90,"NR","NR",90,90,90,90,90,"NR",90,90,90,90,"NR","NR","NR",90,90,90,90,90,90,"NR",90,"NR",90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,"NR","NR","NR",90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,"NR","NR",90,"NR",90,90,90,90,"NR",90,90,90,90,90,90,"NR","NR",90,90,90,90,"NR","NR",90,90,90,90,90,90,"NR",90,90,90,90,"NR",90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,"NR",90,90,"NR",90,90,90,90,"NR",90,"NR",90,"NR","NR",90,90,"NR","NR","NR","NR",90,90,90,"NR","NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,"NR",90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,"NR",90,"NR","NR",90,90,90,90,90,"NR",90,90,90,90
78,"Watermellon","NR",14,14,14,14,"NR",14,"NR",14,14,"NR",14,14,"NR","NR",14,"NR",14,14,14,14,"NR","NR",14,14,14,14,14,"NR",14,14,14,"NR",14,14,"NR",14,14,14,14,14,14,"NR","NR",14,14,14,14,15,"NR",15,15,15,"NR",16,"NR","NR",18,"NR","NR",18,18,18,"NR",18,18,18,18,18,19,"NR",17,17,16,16,15,15,"NR",15,15,15,15,15,15,"NR","NR",15,"NR",15,"NR","NR","NR",15,17,17,17,17,18,"NR",18,"NR",18,18,18,19,"NR",20,20,20,20,20,20,"NR","NR",20,20,20,20,20,"NR",20,20,20,20,"NR","NR","NR",20,23,23,23,23,23,"NR",23,"NR",23,23,23,23,"NR",23,23,23,23,23,23,"NR",23,23,23,23,23,23,"NR",23,23,23,23,23,"NR","NR","NR",23,23,23,23,23,"NR",23,23,22,22,22,22,"NR",22,22,22,22,22,"NR","NR",22,"NR",22,22,22,22,"NR",22,22,22,22,22,22,"NR","NR",22,22,22,22,"NR","NR",22,22,22,22,22,22,"NR",22,22,22,22,"NR",22,"NR",22,22,22,22,22,22,"NR",22,22,22,22,22,22,"NR",22,22,22,22,22,22,"NR",22,22,22,22,22,22,"NR",22,22,22,"NR",22,22,"NR",22,22,22,22,"NR",22,"NR",22,"NR","NR",22,22,"NR","NR","NR","NR",22,22,22,"NR","NR",22,20,20,20,20,20,"NR",20,20,20,20,20,20,"NR",20,20,20,20,20,20,"NR",20,20,20,20,20,20,"NR",20,20,"NR",20,20,20,"NR",20,20,20,20,20,20,"NR",20,20,20,20,"NR",20,"NR","NR",20,20,20,20,20,"NR",20,20,20,20
79,"Watermellon kiran","NR",16,16,16,16,"NR",16,"NR",16,16,"NR",16,16,"NR","NR",16,"NR",16,16,16,16,"NR","NR",15,15,16,16,16,"NR",16,16,16,"NR",16,16,"NR",16,16,16,16,16,16,"NR","NR",16,16,16,16,15,"NR",15,15,15,"NR",15,"NR","NR",18,"NR","NR",18,18,18,"NR",18,19,19,19,19,18,"NR",18,17,17,17,17,17,"NR",17,17,17,17,17,17,"NR","NR",17,"NR",17,"NR","NR","NR",17,18,18,18,18,18,"NR",18,"NR",18,18,18,18,"NR",18,18,18,18,18,18,"NR","NR",19,19,19,19,19,"NR",19,19,19,19,"NR","NR","NR",19,18,18,18,18,18,"NR",18,"NR",18,18,18,18,"NR",18,18,18,18,18,18,"NR",19,19,19,19,20,20,"NR",20,20,20,20,20,"NR","NR","NR",20,20,20,20,20,"NR",20,20,20,20,23,23,"NR",23,23,23,23,23,"NR","NR",23,"NR",23,23,23,23,"NR",23,23,23,23,23,23,"NR","NR",23,23,23,23,"NR","NR",23,23,24,24,26,27,"NR",30,30,31,31,"NR",30,"NR",31,31,31,32,32,32,"NR",32,32,32,32,32,32,"NR",32,32,32,32,32,32,"NR",30,30,28,28,25,25,"NR",24,24,24,"NR",24,24,"NR",22,22,22,22,"NR",19,"NR",19,"NR","NR",19,19,"NR","NR","NR","NR",20,20,20,"NR","NR",20,20,20,20,20,20,"NR",19,19,19,19,19,19,"NR",19,19,19,19,19,19,"NR",19,19,19,20,20,20,"NR",20,21,"NR",21,21,21,"NR",23,23,23,23,23,23,"NR",23,23,22,22,"NR",23,"NR","NR",22,22,20,20,20,"NR",20,21,21,21
80,"S.mellon namdhari","NR",16,16,16,16,"NR",16,"NR",16,16,"NR",16,16,"NR","NR",16,"NR",16,16,16,16,"NR","NR",15,15,15,16,16,"NR",16,16,16,"NR",16,16,"NR",16,16,16,16,16,16,"NR","NR",16,16,16,16,16,"NR",16,16,16,"NR",16,"NR","NR",16,"NR","NR",16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR","NR",16,"NR",16,"NR","NR","NR",16,16,16,16,16,16,"NR",16,"NR",16,16,16,16,"NR",16,16,16,16,16,16,"NR","NR",16,16,16,16,16,"NR",16,16,16,16,"NR","NR","NR",16,16,16,16,16,16,"NR",16,"NR",16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,"NR","NR","NR",16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,"NR","NR",16,"NR",16,16,16,16,"NR",16,16,16,16,16,16,"NR","NR",16,16,16,16,"NR","NR",16,16,16,16,16,16,"NR",16,16,16,16,"NR",16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,"NR",16,16,"NR",16,16,16,16,"NR",16,"NR",16,"NR","NR",16,16,"NR","NR","NR","NR",16,16,16,"NR","NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,"NR",16,16,16,"NR",16,16,16,16,16,16,"NR",16,16,16,16,"NR",16,"NR","NR",16,16,16,0,0,"NR",0,0,0,0
81,"Mosambi","NR",88,88,88,88,"NR",88,"NR",88,88,"NR",88,88,"NR","NR",88,"NR",88,88,88,88,"NR","NR",83,83,83,83,83,"NR",80,80,80,"NR",80,80,"NR",80,80,80,80,80,80,"NR","NR",80,80,80,80,80,"NR",80,80,80,"NR",80,"NR","NR",80,"NR","NR",80,80,80,"NR",50,50,50,50,50,50,"NR",50,50,50,50,50,50,"NR",50,50,50,50,50,50,"NR","NR",50,"NR",50,"NR","NR","NR",50,50,50,50,50,50,"NR",50,"NR",50,59,59,59,"NR",59,59,59,59,59,59,"NR","NR",59,59,58,58,58,"NR",58,58,58,58,"NR","NR","NR",56,56,56,56,56,56,"NR",56,"NR",56,56,56,56,"NR",56,56,56,56,56,56,"NR",56,56,56,56,58,58,"NR",58,58,60,60,60,"NR","NR","NR",60,60,60,60,60,"NR",60,60,63,63,63,63,"NR",63,63,63,63,63,"NR","NR",63,"NR",63,63,63,63,"NR",63,63,63,63,63,63,"NR","NR",63,63,63,63,"NR","NR",63,63,63,65,65,66,"NR",66,68,68,66,"NR",69,"NR",69,69,69,69,69,69,"NR",69,69,69,69,69,69,"NR",69,69,69,69,69,69,"NR",69,70,70,68,66,65,"NR",65,65,65,"NR",65,65,"NR",65,65,66,66,"NR",66,"NR",66,"NR","NR",66,66,"NR","NR","NR","NR",66,66,66,"NR","NR",66,66,66,64,64,64,"NR",64,60,60,60,60,60,"NR",58,58,58,56,58,58,"NR",58,58,56,56,56,56,"NR",56,56,"NR",56,56,56,"NR",58,62,62,66,66,70,"NR",72,75,76,72,"NR",72,"NR","NR",72,72,84,84,84,"NR",84,84,84,84
82,"Mosambi polo","NR",88,88,88,88,"NR",88,"NR",88,88,"NR",88,88,"NR","NR",88,"NR",88,88,88,88,"NR","NR",88,88,88,88,88,"NR",88,88,88,"NR",78,78,"NR",78,78,78,78,75,75,"NR","NR",75,75,75,75,75,"NR",70,70,70,"NR",70,"NR","NR",68,"NR","NR",68,65,65,"NR",64,64,64,64,62,62,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR","NR",59,"NR",59,"NR","NR","NR",59,59,59,59,59,59,"NR",59,"NR",59,59,59,59,"NR",59,59,59,59,59,59,"NR","NR",59,59,59,59,59,"NR",59,59,59,59,"NR","NR","NR",59,59,59,59,59,59,"NR",59,"NR",59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,"NR","NR","NR",59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,"NR","NR",59,"NR",59,59,59,59,"NR",59,59,59,59,59,59,"NR","NR",59,59,59,59,"NR","NR",59,59,59,59,59,59,"NR",59,59,59,59,"NR",59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,"NR",59,59,"NR",59,59,59,59,"NR",59,"NR",59,"NR","NR",59,59,"NR","NR","NR","NR",59,59,59,"NR","NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,"NR",59,59,59,"NR",59,59,59,59,59,59,"NR",59,59,59,59,"NR",59,"NR","NR",59,59,0,0,0,"NR",0,0,0,0
83,"S.mellon namdhari (Red)","NR",24,24,24,24,"NR",24,"NR",24,24,"NR",24,24,"NR","NR",24,"NR",24,24,24,24,"NR","NR",24,24,24,25,25,"NR",25,25,25,"NR",25,25,"NR",25,25,25,25,25,25,"NR","NR",22,22,22,22,22,"NR",22,22,22,"NR",34,"NR","NR",34,"NR","NR",25,25,25,"NR",25,25,25,25,25,25,"NR",25,25,25,25,25,25,"NR",25,25,25,25,25,25,"NR","NR",25,"NR",25,"NR","NR","NR",24,25,25,25,25,24,"NR",24,"NR",24,24,24,24,"NR",24,24,24,24,24,24,"NR","NR",24,24,24,24,24,"NR",24,24,24,24,"NR","NR","NR",24,24,24,24,24,24,"NR",24,"NR",24,24,24,24,"NR",24,24,24,24,24,24,"NR",24,24,24,24,24,27,"NR",32,32,32,32,32,"NR","NR","NR",32,32,32,32,32,"NR",32,32,32,32,32,32,"NR",32,32,32,32,32,"NR","NR",32,"NR",32,32,32,32,"NR",36,32,32,32,32,32,"NR","NR",32,32,32,32,"NR","NR",32,32,32,32,32,32,"NR",32,32,32,32,"NR",32,"NR",32,32,32,32,32,32,"NR",32,32,32,32,32,32,"NR",32,30,30,30,30,30,"NR",27,27,27,27,27,27,"NR",27,27,27,"NR",27,27,"NR",27,27,27,27,"NR",27,"NR",27,"NR","NR",29,29,"NR","NR","NR","NR",29,29,29,"NR","NR",29,29,29,29,29,29,"NR",29,34,36,36,36,36,"NR",36,35,35,35,35,35,"NR",35,35,35,35,43,46,"NR",52,52,"NR",52,52,52,"NR",52,52,52,52,52,52,"NR",52,52,52,52,"NR",52,"NR","NR",52,52,52,46,46,"NR",46,43,40,40
84,"S.mellon Local (Luck)","NR",43,43,43,43,"NR",43,"NR",43,43,"NR",43,43,"NR","NR",43,"NR",43,43,43,43,"NR","NR",43,43,43,43,43,"NR",40,40,39,"NR",39,39,"NR",39,39,39,39,39,39,"NR","NR",39,39,39,39,39,"NR",39,39,32,"NR",45,"NR","NR",45,"NR","NR",33,30,30,"NR",30,30,30,30,32,32,"NR",32,32,32,32,32,32,"NR",32,32,32,32,30,30,"NR","NR",30,"NR",30,"NR","NR","NR",33,34,34,34,34,30,"NR",30,"NR",30,30,30,30,"NR",30,30,30,30,30,30,"NR","NR",32,32,32,32,32,"NR",32,32,33,35,"NR","NR","NR",35,35,35,35,35,35,"NR",35,"NR",35,35,33,33,"NR",33,33,33,33,33,33,"NR",33,33,33,33,33,39,"NR",42,42,42,42,42,"NR","NR","NR",42,42,42,43,43,"NR",43,43,43,43,43,43,"NR",43,48,48,48,48,"NR","NR",48,"NR",48,48,48,48,"NR",48,48,48,48,48,48,"NR","NR",48,48,48,48,"NR","NR",48,48,48,48,48,48,"NR",48,48,48,48,"NR",48,"NR",48,48,48,48,42,42,"NR",42,42,42,42,42,42,"NR",42,42,42,42,42,42,"NR",42,42,42,42,42,42,"NR",40,40,40,"NR",44,44,"NR",44,44,48,48,"NR",48,"NR",48,"NR","NR",48,48,"NR","NR","NR","NR",48,48,48,"NR","NR",48,48,48,48,48,48,"NR",48,48,48,48,48,48,"NR",48,48,48,48,48,48,"NR",48,48,48,52,52,52,"NR",52,52,"NR",52,52,52,"NR",52,52,52,52,52,52,"NR",52,52,52,52,"NR",52,"NR","NR",52,52,52,0,0,"NR",0,0,0,0
85,"Bore fruit","NR",35,35,35,35,"NR",35,"NR",35,36,"NR",36,36,"NR","NR",36,"NR",36,36,36,36,"NR","NR",36,36,36,36,36,"NR",36,36,36,"NR",38,38,"NR",38,38,38,38,38,38,"NR","NR",38,38,38,38,38,"NR",38,38,38,"NR",38,"NR","NR",38,"NR","NR",38,38,38,"NR",38,38,38,38,38,38,"NR",38,38,38,38,38,38,"NR",38,38,38,38,38,38,"NR","NR",38,"NR",38,"NR","NR","NR",38,38,38,38,38,38,"NR",38,"NR",38,38,38,38,"NR",38,38,38,38,38,38,"NR","NR",38,38,38,38,38,"NR",38,38,38,38,"NR","NR","NR",38,38,38,38,38,38,"NR",38,"NR",38,38,38,38,"NR",38,38,38,38,38,38,"NR",38,38,38,38,38,38,"NR",38,38,38,38,38,"NR","NR","NR",38,38,38,38,38,"NR",38,38,38,38,38,38,"NR",38,38,38,38,38,"NR","NR",38,"NR",38,38,38,38,"NR",38,38,38,38,38,38,"NR","NR",42,42,42,42,"NR","NR",44,44,44,44,44,44,"NR",44,44,44,44,"NR",44,"NR",44,44,44,44,44,44,"NR",44,44,44,42,42,42,"NR",42,42,42,42,42,42,"NR",42,42,42,42,42,42,"NR",42,42,42,"NR",42,42,"NR",42,42,42,42,"NR",42,"NR",42,"NR","NR",42,42,"NR","NR","NR","NR",42,42,42,"NR","NR",42,42,42,42,42,42,"NR",42,42,42,42,42,42,"NR",42,42,42,42,42,42,"NR",42,42,42,42,42,42,"NR",42,42,"NR",42,42,43,"NR",43,43,43,43,43,43,"NR",43,43,43,43,"NR",43,"NR","NR",43,43,43,43,43,"NR",43,43,43,43
86,"Butter fruit","NR",200,200,200,200,"NR",200,"NR",200,200,"NR",200,200,"NR","NR",200,"NR",200,200,200,200,"NR","NR",200,200,200,200,200,"NR",200,200,200,"NR",200,200,"NR",200,200,200,200,200,200,"NR","NR",200,200,200,200,200,"NR",200,200,200,"NR",200,"NR","NR",200,"NR","NR",200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR",200,200,200,200,200,200,"NR","NR",200,"NR",200,"NR","NR","NR",200,200,200,195,190,190,"NR",190,"NR",190,190,180,180,"NR",180,180,180,180,180,180,"NR","NR",180,176,176,170,170,"NR",170,162,162,162,"NR","NR","NR",160,160,160,156,156,156,"NR",155,"NR",148,148,140,140,"NR",140,135,135,134,130,130,"NR",128,128,122,122,118,118,"NR",120,120,120,120,120,"NR","NR","NR",118,118,115,119,119,"NR",119,119,119,119,119,122,"NR",122,122,122,122,124,"NR","NR",124,"NR",124,124,124,124,"NR",124,124,124,120,120,118,"NR","NR",118,118,118,118,"NR","NR",118,118,118,118,118,118,"NR",118,118,118,118,"NR",118,"NR",118,118,118,118,118,118,"NR",118,118,123,120,125,125,"NR",125,125,125,125,125,125,"NR",126,126,126,126,128,128,"NR",128,130,130,"NR",130,130,"NR",130,130,134,134,"NR",134,"NR",134,"NR","NR",136,136,"NR","NR","NR","NR",136,136,136,"NR","NR",136,139,140,140,140,140,"NR",140,140,147,147,147,147,"NR",147,147,147,147,147,147,"NR",167,167,165,168,168,168,"NR",172,172,"NR",172,172,176,"NR",176,176,180,185,185,185,"NR",185,187,187,187,"NR",190,"NR","NR",200,200,200,200,203,"NR",203,203,203,203
87,"Anjura/Fig","NR",92,92,92,92,"NR",92,"NR",92,92,"NR",92,92,"NR","NR",92,"NR",92,92,92,92,"NR","NR",92,92,92,92,92,"NR",92,92,92,"NR",92,92,"NR",92,92,92,92,92,92,"NR","NR",92,92,92,92,92,"NR",92,92,92,"NR",92,"NR","NR",92,"NR","NR",92,92,92,"NR",98,98,98,98,98,98,"NR",98,98,98,98,98,98,"NR",98,98,98,99,99,99,"NR","NR",99,"NR",99,"NR","NR","NR",99,99,99,99,99,99,"NR",99,"NR",99,99,99,92,"NR",92,92,92,92,92,92,"NR","NR",92,92,92,52,52,"NR",52,52,52,52,"NR","NR","NR",52,52,52,52,52,52,"NR",52,"NR",52,52,52,52,"NR",52,88,88,88,88,88,"NR",88,88,88,88,88,88,"NR",88,88,88,88,88,"NR","NR","NR",88,88,88,88,88,"NR",88,88,88,88,88,88,"NR",88,88,88,92,92,"NR","NR",92,"NR",92,92,92,92,"NR",92,92,92,92,92,92,"NR","NR",92,92,92,92,"NR","NR",92,92,92,92,92,92,"NR",92,92,92,92,"NR",92,"NR",92,92,92,92,92,92,"NR",92,92,92,92,92,92,"NR",92,92,92,92,92,92,"NR",92,92,92,92,92,92,"NR",92,92,92,"NR",92,92,"NR",92,92,92,92,"NR",92,"NR",92,"NR","NR",92,92,"NR","NR","NR","NR",92,92,92,"NR","NR",92,92,92,92,92,92,"NR",92,92,92,92,92,92,"NR",92,92,92,92,92,92,"NR",92,92,92,92,92,88,"NR",88,88,"NR",88,88,88,"NR",88,88,88,88,88,88,"NR",88,88,90,90,"NR",85,"NR","NR",85,85,85,85,85,"NR",85,85,85,85
88,"Peas seeds","NR",287,287,287,287,287,287,"NR",287,287,287,287,287,"NR","NR",287,287,287,94,94,94,"NR","NR",94,94,94,94,94,"NR",94,94,94,"NR",90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,90,90,90,90,"NR",90,90,"NR",90,90,90,"NR",90,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR","NR",97,"NR",97,"NR","NR","NR",97,97,97,97,97,97,"NR",97,"NR",97,97,97,97,"NR",97,97,97,97,97,97,"NR","NR",97,97,97,97,97,"NR",97,97,97,97,"NR","NR","NR",97,97,97,97,97,97,"NR",97,"NR",97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,"NR","NR","NR",97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,"NR","NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,"NR",97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,"NR",97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,"NR","NR",97,97,97,97,97,"NR","NR",97,97,97,97,"NR",97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,97,97,"NR",97,97,97,97,250,250,"NR",250,250,250,250
